"query","clicks","impressions","ctr","position","position_band","category","cluster","commercial_intent","current_or_probable_url","url_confidence","opportunity_score","recommended_action","priority"
"o que significa jpeg","1","278","0.36%","7.24","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.075","MONITOR","P3"
"qual o melhor aplicativo para fazer vídeos","1","236","0.42%","4.9","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.075","MONITOR","P3"
"roupas para fotos profissionais","1","107","0.93%","2.54","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.075","MONITOR","P3"
"atalhos de teclado do photoshop","0","645","0%","24.1","21-50","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0.075","INTERNAL LINK (blog->money)","P3"
"qual app para editar videos","2","285","0.7%","5.61","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0748","MONITOR","P3"
"foto em são paulo","4","164","2.44%","1.5","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0746","MONITOR","P3"
"imagem de foto de perfil sem foto","1","99","1.01%","1","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.0735","MONITOR","P3"
"tour fotografico","1","4","0.25%","8.5","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0734","CTR+TITLE/META","P3"
"aplicativo para editar fotos e vídeos grátis","1","254","0.39%","6.29","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0733","MONITOR","P3"
"app de editar","1","214","0.47%","5.67","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0732","MONITOR","P3"
"fotografia profissional feminina","2","30","6.67%","2.6","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.0731","MONITOR","P3"
"aplicativo de fotos e vídeos","2","335","0.6%","8.19","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.073","MONITOR","P3"
"aplicativos de edicao de video gratis","1","210","0.48%","5.93","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0729","MONITOR","P3"
"verde psicologia das cores","1","243","0.41%","1.66","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0726","INTERNAL LINK (blog->money)","P3"
"foto de lugares","1","93","1.08%","1.6","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0722","MONITOR","P3"
"fotos em sao paulo","1","93","1.08%","1.19","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0722","MONITOR","P3"
"imagens jpeg","1","240","0.42%","9.3","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.072","MONITOR","P3"
"aplicativo para criar vídeo","2","314","0.64%","8.75","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0715","MONITOR","P3"
"aplicativo edicao video","1","231","0.43%","7.1","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0714","MONITOR","P3"
"melhor app para editar video no celular","2","235","0.85%","4.4","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0707","MONITOR","P3"
"como editar foto no lightroom","3","109","2.75%","8.44","7-10","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0.0706","INTERNAL LINK (blog->money)","P3"
"edição no lightroom","0","441","0%","23.75","21-50","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0.0706","INTERNAL LINK (blog->money)","P3"
"foto juridica","1","37","2.7%","6.97","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0703","CONTENT+INTERNAL LINK","P3"
"aplicativo para fazer video com fotos","2","288","0.69%","6.51","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0695","MONITOR","P3"
"como liberar espaço no icloud do iphone","2","285","0.7%","7.46","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0692","MONITOR","P3"
"app de edição de video gratuito","3","354","0.85%","6.45","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.069","MONITOR","P3"
"app editar videos","1","170","0.59%","5.15","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.069","MONITOR","P3"
"plano de fundo para foto de perfil","1","40","2.5%","3.92","4-6","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.069","INTERNAL LINK (blog->money)","P3"
"app de editar videos","2","214","0.93%","5.13","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0688","MONITOR","P3"
"modelos de fotos corporativas","1","18","5.56%","2.89","1-3","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.0688","MONITOR","P3"
"lugares para ensaio fotográfico em sp","8","82","9.76%","2.34","1-3","DINHEIRO","lugares-fotografar","1","/blog","URL_PROVAVEL","0.0684","MONITOR","P3"
"fundos para foto de perfil","1","42","2.38%","6.1","7-10","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.0684","INTERNAL LINK (blog->money)","P3"
"poses de fotos profissionais femininas","1","42","2.38%","8","7-10","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.0684","INTERNAL LINK (blog->money)","P3"
"aplicativo para editar vídeos e fotos","1","162","0.62%","5.14","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0681","MONITOR","P3"
"lugares bonitos para tirar foto","1","75","1.33%","1.56","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0678","MONITOR","P3"
"aplicativo de fazer video com fotos","1","192","0.52%","9.4","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0674","MONITOR","P3"
"poses de fotos profissionais","1","172","0.58%","1.25","1-3","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.0674","INTERNAL LINK (blog->money)","P3"
"aplicativo de editar fotos e vídeos","2","260","0.77%","6.88","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0668","MONITOR","P3"
"lei de direitos autorais de imagem","1","33","3.03%","7.45","7-10","APOIO","direitos-uso","0.6","/faq","URL_PROVAVEL","0.0667","CONTENT+INTERNAL LINK","P3"
"armazenamento icloud cheio o que fazer","1","185","0.54%","6.15","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0666","MONITOR","P3"
"como liberar espaço no icloud sem pagar","1","185","0.54%","8.45","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0666","MONITOR","P3"
"aplicativo de edit","3","324","0.93%","8.69","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0665","MONITOR","P3"
"melhor app para fazer video","1","149","0.67%","5.19","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0665","MONITOR","P3"
"fotos eventos corporativos","2","27","7.41%","2.22","1-3","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0.0663","MONITOR","P3"
"armazenamento do icloud","1","178","0.56%","7.19","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0658","MONITOR","P3"
"teoria das cores foto","1","68","1.47%","1.15","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0657","MONITOR","P3"
"melhor app para editar fotos e vídeos grátis","2","186","1.08%","4.23","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0655","MONITOR","P3"
"melhor app para criar videos","2","186","1.08%","5.45","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0655","MONITOR","P3"
"qual é o melhor aplicativo para editar","1","141","0.71%","5.18","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0654","MONITOR","P3"
"app de edição de vídeo","1","171","0.58%","6.14","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.065","MONITOR","P3"
"app de editar video gratis","1","171","0.58%","7.4","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.065","MONITOR","P3"
"editor de video android","1","168","0.6%","9.26","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0644","MONITOR","P3"
"pose para fotos profissionais","1","141","0.71%","1.21","1-3","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.0644","INTERNAL LINK (blog->money)","P3"
"aplicativo para video","1","167","0.6%","8.22","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0643","MONITOR","P3"
"ideias de fundo para fotos","3","183","1.64%","1.54","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0641","INTERNAL LINK (blog->money)","P3"
"amarelo na psicologia das cores","1","134","0.75%","1.77","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0636","INTERNAL LINK (blog->money)","P3"
"app de editar vídeo","1","126","0.79%","5.75","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0632","MONITOR","P3"
"app fazer video","1","158","0.63%","9.24","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0631","MONITOR","P3"
"aplicações para fazer videos","1","35","2.86%","8.9","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.0631","CONTENT+INTERNAL LINK","P3"
"dicas de fotos profissionais","1","60","1.67%","2.25","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.063","MONITOR","P3"
"como limpar meu icloud","1","157","0.64%","7.8","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0629","MONITOR","P3"
"tenho icloud mas o armazenamento esta cheio","1","156","0.64%","8.24","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0628","MONITOR","P3"
"foto de perfil trabalho","1","58","1.72%","2.9","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.0623","MONITOR","P3"
"aplicativo para videos com fotos","1","151","0.66%","8.77","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0621","MONITOR","P3"
"traje esporte casual","0","456","0%","3.31","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0621","MONITOR","P3"
"editor de vídeo grátis para celular","1","149","0.67%","8.95","7-10","INFORMATIVA","video","0.15","/videos","URL_PROVAVEL","0.0618","MONITOR","P3"
"foto preto branco","1","56","1.79%","2.25","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0615","MONITOR","P3"
"aplicativo que faz videos","1","145","0.69%","8.33","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0611","MONITOR","P3"
"como conseguir mais armazenamento no iphone","2","208","0.96%","9.4","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0609","MONITOR","P3"
"qual melhor aplicativo para criar videos","1","112","0.89%","5.21","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0609","MONITOR","P3"
"exemplo de fotos profissionais","1","54","1.85%","1.69","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.0608","MONITOR","P3"
"apps para editar videos gratis","1","141","0.71%","6.31","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0605","MONITOR","P3"
"fotógrafo corporativo","3","726","0.41%","26.3","21-50","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.0604","CONTENT+CASE","P3"
"aplicativo para edição de vídeos","1","140","0.71%","6.67","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0604","MONITOR","P3"
"poses profissionais para fotos","2","129","1.55%","1.54","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0601","INTERNAL LINK (blog->money)","P3"
"locais para ensaios fotograficos","1","5","0.2%","2.8","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0599","MONITOR","P3"
"app para fazer video com fotos","4","314","1.27%","8.35","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0598","MONITOR","P3"
"lugar bonito para tirar foto","2","67","2.99%","2.18","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0595","MONITOR","P3"
"dress code casual homem","1","33","3.03%","2.48","1-3","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.0595","MONITOR","P3"
"lugares para tirar foto perto de mim","1","104","0.96%","5.85","4-6","INFORMATIVA","lugares-fotografar","0.15","/blog","URL_PROVAVEL","0.0593","MONITOR","P3"
"app edicao de video","2","197","1.02%","6.2","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0592","MONITOR","P3"
"editor de video app","1","134","0.75%","6.87","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0592","MONITOR","P3"
"qual tem melhor qualidade png ou jpg","1","103","0.97%","4.31","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0591","MONITOR","P3"
"poses para fotos linkedin","1","15","6.67%","1.33","1-3","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.059","MONITOR","P3"
"fotos para editar no lightroom","1","38","2.63%","7.37","7-10","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0.0588","INTERNAL LINK (blog->money)","P3"
"laranja na psicologia das cores","1","98","1.02%","1.66","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0586","INTERNAL LINK (blog->money)","P3"
"aplicativo de edição de video gratuito","2","191","1.05%","7.65","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0584","MONITOR","P3"
"cores fotografia","1","48","2.08%","1.6","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0582","MONITOR","P3"
"melhores horários para postar no twitter","1","95","1.05%","5.89","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0574","MONITOR","P3"
"app para editar vídeo no celular","1","94","1.06%","4.18","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0572","MONITOR","P3"
"app para montagem de video","1","122","0.82%","8.77","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.057","MONITOR","P3"
"qual aplicativo que edita vídeo","1","93","1.08%","5.41","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0569","MONITOR","P3"
"app editor de fotos e videos gratis","1","50","0.02%","4.92","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0568","MONITOR","P3"
"aplicativo de edição de vídeo gratuito","1","50","0.02%","6.9","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0567","MONITOR","P3"
"app editor video","1","50","0.02%","7.78","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0567","MONITOR","P3"
"como salvar fotos no iphone sem ocupar espaço","1","50","0.02%","8.2","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0567","MONITOR","P3"
"locais em sp","2","50","0.04%","8.68","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0564","MONITOR","P3"
"melhor app para editar","1","90","1.11%","4.5","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0563","MONITOR","P3"
"app para fazer edição de videos","1","90","1.11%","5.98","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0563","MONITOR","P3"
"app para fazer video de fotos","1","118","0.85%","8.95","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0562","MONITOR","P3"
"lugares bonitos para tirar fotos","1","44","2.27%","2.23","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0562","MONITOR","P3"
"app que edita video","1","89","1.12%","5.3","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0561","MONITOR","P3"
"aplicativos para fazer edit","1","116","0.86%","8.72","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0558","MONITOR","P3"
"food style","1","87","1.15%","5.46","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0555","MONITOR","P3"
"ideia de fotos profissionais","1","42","2.38%","2.33","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.0552","MONITOR","P3"
"app pra editar videos","1","85","1.18%","4.41","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.055","MONITOR","P3"
"melhor aplicativo de editar vídeo","1","85","1.18%","4.45","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.055","MONITOR","P3"
"o que é arquivo png","1","112","0.89%","9.44","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0549","MONITOR","P3"
"editor de fotos e videos gratis para celular","1","84","1.19%","5.38","4-6","INFORMATIVA","video","0.15","/videos","URL_PROVAVEL","0.0548","MONITOR","P3"
"app para edição de vídeo gratuito","1","111","0.9%","6.49","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0547","MONITOR","P3"
"aplicativos de edicao","1","83","1.2%","5.81","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0546","MONITOR","P3"
"rede social trabalho","1","110","0.91%","8.25","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0544","MONITOR","P3"
"qual o melhor aplicativo para criar vídeo","1","82","1.22%","4.59","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0542","MONITOR","P3"
"qual melhor aplicativo para fazer video","1","108","0.93%","6.48","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0539","MONITOR","P3"
"como liberar armazenamento do icloud","1","108","0.93%","6.83","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0539","MONITOR","P3"
"como ter espaco no icloud sem pagar","1","108","0.93%","8.45","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0539","MONITOR","P3"
"app para edição de videos gratuitos","2","113","1.77%","5.39","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0534","MONITOR","P3"
"ideias de poses para fotos profissionais","1","70","1.43%","1.73","1-3","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.0531","INTERNAL LINK (blog->money)","P3"
"melhor aplicativo para criar vídeos","1","104","0.96%","6.7","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.053","MONITOR","P3"
"qual app editar video","1","102","0.98%","6.5","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0525","MONITOR","P3"
"melhores apps para fazer edits","1","76","1.32%","4.57","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0525","MONITOR","P3"
"qual melhor aplicativo para editar videos gratis","1","75","1.33%","5.89","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0523","MONITOR","P3"
"linkedin redes sociales","1","1","1%","10","7-10","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.0521","CTR+TITLE/META","P3"
"lugares instagramaveis sp","2","154","1.3%","9.18","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.052","MONITOR","P3"
"site de fotógrafo","1","32","3.12%","7.28","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0518","CONTENT+INTERNAL LINK","P3"
"app para criar vídeos","1","97","1.03%","7.91","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0512","MONITOR","P3"
"poses para linkedin","1","13","7.69%","1.46","1-3","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.0511","MONITOR","P3"
"aplicativo para montagem de vídeo","1","93","1.08%","8.82","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.05","MONITOR","P3"
"dicas para tirar fotos profissionais","3","46","6.52%","2.41","1-3","APOIO","foto-profissional","0.6","/foto-profissional","URL_PROVAVEL","0.0498","MONITOR","P3"
"rua dos fotógrafos","1","2","0.5%","5.5","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0497","CTR+TITLE/META","P3"
"editor de foto","1","2","0.5%","6","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0497","CTR+TITLE/META","P3"
"fotografia","1","33","3.03%","2.33","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0496","MONITOR","P3"
"melhores aplicativos para editar videos no celular","1","19","5.26%","4.21","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.0495","CONTENT+INTERNAL LINK","P3"
"fundos de fotos profissionais","3","89","3.37%","2.15","1-3","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.0494","INTERNAL LINK (blog->money)","P3"
"retrato corporativo","4","890","0.45%","25.4","21-50","DINHEIRO","retrato-executivo","1","/fotografia-executiva","URL_PROVAVEL","0.0492","CONTENT+CASE","P3"
"roupa para fotos profissionais","3","57","5.26%","2.7","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.0486","MONITOR","P3"
"espaço icloud","1","88","1.14%","8.56","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0485","MONITOR","P3"
"aplicativo criar video","1","88","1.14%","8.88","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0485","MONITOR","P3"
"melhor aplicativo para editar videos gratis","2","94","2.13%","5.61","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0484","MONITOR","P3"
"meu icloud esta cheio como esvaziar","1","87","1.15%","6.45","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0483","MONITOR","P3"
"app para editar videos gratis","1","87","1.15%","6.7","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0483","MONITOR","P3"
"aplicativo de vídeo gratuito","1","87","1.15%","7.74","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0483","MONITOR","P3"
"melhores app para editar videos","4","296","1.35%","3.53","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.048","MONITOR","P3"
"edição de fotos no lightroom","1","498","0.2%","24.98","21-50","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0.048","INTERNAL LINK (blog->money)","P3"
"melhor aplicativo para editar vídeos no celular","3","255","1.18%","3.99","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0479","MONITOR","P3"
"app para editar fotos e vídeos grátis","2","92","2.17%","5.9","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0478","MONITOR","P3"
"modelo de pose para foto","1","34","2.94%","7.3","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0476","INTERNAL LINK (blog->money)","P3"
"melhor app para editar vídeos no celular grátis","1","61","1.64%","5.8","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0475","MONITOR","P3"
"reposicionamento de imagem","1","159","0.63%","3.81","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0474","MONITOR","P3"
"aplicativo para edicao de video","1","84","1.19%","6.17","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0473","MONITOR","P3"
"app que faz videos","1","84","1.19%","7.56","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0473","MONITOR","P3"
"app para video de fotos","1","84","1.19%","8.93","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0473","MONITOR","P3"
"formato para fotos","1","2","0.5%","7.5","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0472","CTR+TITLE/META","P3"
"videos","1","2","0.5%","9","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.0472","CTR+TITLE/META","P3"
"app de edição de videos","1","60","1.67%","5.55","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0471","MONITOR","P3"
"apps de edicao","1","60","1.67%","5.63","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0471","MONITOR","P3"
"melhores app de edição de video gratuito","1","60","1.67%","5.65","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0471","MONITOR","P3"
"melhor editor de vídeo para celular grátis","1","25","0.04%","9.12","7-10","INFORMATIVA","video","0.15","/videos","URL_PROVAVEL","0.0468","MONITOR","P3"
"fotos formal","1","29","3.45%","2.21","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0465","MONITOR","P3"
"melhor editor de video android","1","80","1.25%","9.21","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.046","MONITOR","P3"
"lugares aesthetic em sp","1","57","1.75%","5.79","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.046","MONITOR","P3"
"quais são os melhores dias para postar no instagram","1","78","1.28%","8.28","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0453","MONITOR","P3"
"melhor app para editar vídeos no celular","4","135","2.96%","4.15","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0448","MONITOR","P3"
"app editar vídeo","1","54","1.85%","4.7","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0446","MONITOR","P3"
"como tirar foto de drink","1","43","2.33%","1.65","1-3","AUTORIDADE","gastronomia","0.4","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.0445","INTERNAL LINK (blog->money)","P3"
"aplicativo gratuito para editar vídeos","1","74","1.35%","6.23","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0438","MONITOR","P3"
"app edicao","1","74","1.35%","6.74","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0438","MONITOR","P3"
"aplicativo para vídeo de fotos","1","74","1.35%","9.16","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0438","MONITOR","P3"
"app de edição de vídeo para celular","1","20","0.05%","5.25","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0438","MONITOR","P3"
"paisagens são paulo","1","20","0.05%","6.25","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0436","MONITOR","P3"
"editor de video gratis para celular","2","20","0.1%","7.35","7-10","INFORMATIVA","video","0.15","/videos","URL_PROVAVEL","0.0431","MONITOR","P3"
"foto com dedo na boca significado","1","30","3.33%","6.8","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0431","CONTENT+INTERNAL LINK","P3"
"fotografia perto de mim","1","30","3.33%","7.9","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0431","CONTENT+INTERNAL LINK","P3"
